gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,subfamily,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory,eventType
981905674,,,,,,,,,,,,,,,,,,,,,,,,,,OBS43420759,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD:OBS43420759,OBS43420759,,obsr132240,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,39186,,,,2007,4,14,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Nanaimo,,Nanaimo River Estuary,,,,,,,,,49.1346,-123.8947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.28927,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.28927,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.18_1,Nanaimo,CAN.2.18.1_1,Nanaimo,LC,
979468382,,,,,,,,,,,,,,,,,,,,,,,,,,OBS239220674,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD:OBS239220674,OBS239220674,,obsr461976,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,37002,,,,2001,4,21,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Sunshine Coast,,Wilson Creek estuary,,,,,,,,,49.438385,-123.71275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.30387,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.30387,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.27_1,Sunshine Coast,CAN.2.27.5_1,Sechelt (Part),LC,
979315587,,,,,,,,,,,,,,,,,,,,,,,,,,OBS239118615,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD_CAN,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD_CAN:OBS239118615,OBS239118615,,obsr28610,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,41088,,,,2012,6,28,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,Nk'mip Desert Cultural Centre,,,,,,,,,49.040833,-119.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.30352,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.30352,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.18_1,Osoyoos 1,LC,
979314892,,,,,,,,,,,,,,,,,,,,,,,,,,OBS239103146,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD_CAN,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD_CAN:OBS239103146,OBS239103146,,obsr28610,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,39657,,,,2008,7,28,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,Osoyoos--Road 22 and dykes (general),,,,,,,,,49.089268,-119.535194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.29903,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.29903,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.8_1,Okanagan-Similkameen A,LC,
979250141,,,,,,,,,,,,,,,,,,,,,,,,,,OBS237843172,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD:OBS237843172,OBS237843172,,obsr162222,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,40358,,,,2010,6,29,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,"White Lake, Okanagan Falls",,,,,,,,,49.309902,-119.639915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.29928,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.29928,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.11_1,Okanagan-Similkameen D,LC,
978474390,,,,,,,,,,,,,,,,,,,,,,,,,,OBS233491311,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD:OBS233491311,OBS233491311,,obsr108656,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,36291,,,,1999,5,11,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Metro Vancouver,,Iona Island (General),,,,,,,,,49.22133,-123.2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.29113,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.29113,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.14_1,Greater Vancouver,CAN.2.14.29_1,Richmond,LC,
970944908,,,,,,,,,,,,,,,,,,,,,,,,,,OBS217051903,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD_CAN,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD_CAN:OBS217051903,OBS217051903,,obsr228190,,2,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,33756,,,,1992,6,1,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,"BC-White Lake Rd, Okanagan",,,,,,,,,49.3155,-119.6521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.29901,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.29901,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.11_1,Okanagan-Similkameen D,LC,
970907816,,,,,,,,,,,,,,,,,,,,,,,,,,OBS217064856,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD_CAN,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD_CAN:OBS217064856,OBS217064856,,obsr228190,,4,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,33757,,,,1992,6,2,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,BC-Osoyoos-Hwy 3 W and Nighthawk Dr,,,,,,,,,49.03027,-119.4628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.30277,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.30277,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.17_1,Osoyoos,LC,
965319220,,,,,,,,,,,,,,,,,,,,,,,,,,OBS210685821,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD:OBS210685821,OBS210685821,,obsr222471,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,38942,,,,2006,8,13,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,"White Lake, Okanagan Falls",,,,,,,,,49.309902,-119.639915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.29057,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.29057,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.11_1,Okanagan-Similkameen D,LC,
964481260,,,,,,,,,,,,,,,,,,,,,,,,,,OBS209908921,,,,,,,,,,CC_BY_4_0,,,,,,,,,,,,,,,,,,,,,,,CLO,EBIRD,,,HUMAN_OBSERVATION,,,,URN:catalog:CLO:EBIRD:OBS209908921,OBS209908921,,obsr137095,,1,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,40747,,,,2011,7,23,,,,,,,,,,,,NORTH_AMERICA,,,,CA,British Columbia,Okanagan-Similkameen,,atlas square: 11LQ15 - Lower McKinney Rd,,,,,,,,,49.173367,-119.60686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-F6DF700B,"Oreoscoptes montanus (J.K.Townsend, 1837)",,,,,,,,Animalia,Chordata,Aves,Passeriformes,Mimidae,,Oreoscoptes,Oreoscoptes,,,montanus,,,SPECIES,,Sage Thrasher,,ACCEPTED,,,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,CA,44950.30282,,,,,,,,CONTINENT_DERIVED_FROM_COORDINATES,,TRUE,FALSE,2494973,2494973,1,44,212,729,9321,2494972,,2494973,Oreoscoptes montanus,"Oreoscoptes montanus (J.K.Townsend, 1837)",Oreoscoptes montanus,,DWC_ARCHIVE,44950.30282,44622.40386,FALSE,,CAN,Canada,CAN.2_1,British Columbia,CAN.2.21_1,Okanagan-Similkameen,CAN.2.21.10_1,Okanagan-Similkameen C,LC,
