gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
981905674																										OBS43420759																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS43420759	OBS43420759		obsr132240		1											PRESENT																								2007	04	14																Canada		British Columbia	Nanaimo		Nanaimo River Estuary													49.1346	-123.8947	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
979883670																										OBS241404840																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS241404840	OBS241404840		obsr115116		1											PRESENT																								2011	04	28																Canada		British Columbia	Fraser Valley		Harrison Hot Springs--Beach & town													49.303905	-121.7848	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
979468382																										OBS239220674																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS239220674	OBS239220674		obsr461976		1											PRESENT																								2001	04	21																Canada		British Columbia	Sunshine Coast		Wilson Creek estuary													49.438385	-123.71275	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
979315587																										OBS239118615																																	CLO	EBIRD_CAN			HumanObservation				URN:catalog:CLO:EBIRD_CAN:OBS239118615	OBS239118615		obsr28610		1											PRESENT																								2012	06	28																Canada		British Columbia	Okanagan-Similkameen		Nk'mip Desert Cultural Centre													49.040833	-119.435	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
979314892																										OBS239103146																																	CLO	EBIRD_CAN			HumanObservation				URN:catalog:CLO:EBIRD_CAN:OBS239103146	OBS239103146		obsr28610		1											PRESENT																								2008	07	28																Canada		British Columbia	Okanagan-Similkameen		Osoyoos--Road 22 and dykes (general)													49.089268	-119.535194	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
979250141																										OBS237843172																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS237843172	OBS237843172		obsr162222		1											PRESENT																								2010	06	29																Canada		British Columbia	Okanagan-Similkameen		White Lake, Okanagan Falls													49.309902	-119.639915	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
978474390																										OBS233491311																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS233491311	OBS233491311		obsr108656		1											PRESENT																								1999	05	11																Canada		British Columbia	Metro Vancouver		Iona Island (General)													49.22133	-123.2111	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
978095906																										OBS232548583																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS232548583	OBS232548583		obsr267011		2											PRESENT																								1992	07	11																Canada		Alberta	Medicine Hat		Petrified Coulee													49.762512	-110.703575	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
977196286																										OBS225689203																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS225689203	OBS225689203		obsr267011		3											PRESENT																								1989	07	26																Canada		Alberta	Medicine Hat		Petrified Coulee													49.762512	-110.703575	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
970944908																										OBS217051903																																	CLO	EBIRD_CAN			HumanObservation				URN:catalog:CLO:EBIRD_CAN:OBS217051903	OBS217051903		obsr228190		2											PRESENT																								1992	06	01																Canada		British Columbia	Okanagan-Similkameen		BC-White Lake Rd, Okanagan													49.3155	-119.6521	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
970907816																										OBS217064856																																	CLO	EBIRD_CAN			HumanObservation				URN:catalog:CLO:EBIRD_CAN:OBS217064856	OBS217064856		obsr228190		4											PRESENT																								1992	06	02																Canada		British Columbia	Okanagan-Similkameen		BC-Osoyoos-Hwy 3 W and Nighthawk Dr													49.03027	-119.4628	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
970133453																										OBS215847725																																	CLO	EBIRD_CAN			HumanObservation				URN:catalog:CLO:EBIRD_CAN:OBS215847725	OBS215847725		obsr90276		1											PRESENT																								1999	05	08																Canada		British Columbia	Metro Vancouver		iona south jetty													49.209297	-123.23948	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
969496511																										OBS215304491																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS215304491	OBS215304491		obsr206296		1											PRESENT																								2012	09	30																Canada		Ontario	Norfolk		Long Point--Tip													42.54842	-80.04833	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
965319220																										OBS210685821																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS210685821	OBS210685821		obsr222471													PRESENT																								2006	08	13																Canada		British Columbia	Okanagan-Similkameen		White Lake, Okanagan Falls													49.309902	-119.639915	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
964481260																										OBS209908921																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS209908921	OBS209908921		obsr137095		1											PRESENT																								2011	07	23																Canada		British Columbia	Okanagan-Similkameen		atlas square: 11LQ15 - Lower McKinney Rd													49.173367	-119.60686	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
964339556																										OBS209663582																																	CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS209663582	OBS209663582		obsr234462		1											PRESENT																								2012	12	14																Canada		British Columbia	Metro Vancouver		Boundary Bay - 64th-72nd Sts., Delta													49.050194	-123.037315	WGS84																																																				avibase-F6DF700B	Oreoscoptes montanus								Animalia	Chordata	Aves	Passeriformes	Mimidae		Oreoscoptes				montanus						Sage Thrasher				
